Page Path,Page Type,Authentication Required,API Endpoints Used,Database Tables Accessed,Data Operations,Status,Notes
/,Landing Page,No (Public),None,None,None,Complete,Static marketing page
/about,Static Page,No (Public),None,None,None,Complete,Company information
/pricing,Static Page,No (Public),GET /api/plans,service_plans,SELECT,Complete,Public pricing plans
/how-it-works,Static Page,No (Public),None,None,None,Complete,Educational content
/contact,Form,No (Public),POST /api/contact,contact_requests,INSERT,Complete,NEEDS CAPTCHA + rate limiting
/start,Redirect,No (Public),None,None,None,Complete,Routes to /intake or /login
/thank-you,Confirmation,No (Public),None,None,None,Complete,Post-submission confirmation
/waiver,Static Page,No (Public),None,None,None,Complete,Legal disclaimer
/login,Auth Form,No (Public),POST /api/auth/login,auth.users,SELECT,Complete,Customer login via Supabase
/signup,Auth Form,No (Public),POST /api/customer/signup,"auth.users, profiles",INSERT,Complete,Customer registration
/auth/confirm,Auth Callback,No (Public),None,auth.users,UPDATE,Complete,Email verification callback
/intake,Intake Form,No (Public),"POST /api/intake/start, GET /api/waiver/check, POST /api/waiver/submit","intakes, waiver_signatures",INSERT,Complete,Multi-step intake flow
/intake/waiver,Waiver Form,No (Public),"POST /api/waiver/submit, GET /api/waiver/get",waiver_signatures,INSERT,Complete,Digital waiver signature
/knowledge-base,Article List,No (Public),None,None,None,Incomplete,NO BACKEND - static content only
/knowledge-base/[slug],Article Detail,No (Public),None,None,None,Incomplete,NO BACKEND - static content only
/checkout/success,Confirmation,No (Public),"GET /api/checkout/resolve, GET /api/sessions/resolve-by-stripe","sessions, profiles",UPDATE,Complete,Post-payment redirect
/services-pricing,Static Page,No (Public),None,None,None,Complete,Service tier pricing
/onboarding/pricing,Plan Selection,Yes (Supabase),"GET /api/plans, POST /api/checkout",service_plans,SELECT,Complete,Customer plan selection
/unsubscribe,Action Page,No (Public),POST /api/unsubscribe,profiles,UPDATE,Complete,Email unsubscribe handler
/customer/dashboard,Customer Dashboard,Yes (Supabase),"GET /api/customer/dashboard/stats, GET /api/mechanics/available-count, GET /api/customer/active-sessions","profiles, sessions, mechanics, repair_quotes",SELECT,Complete,3 real-time subscriptions
/customer/profile,Customer Profile,Yes (Supabase),"GET /api/customer/profile, PUT /api/customer/profile",profiles,SELECT|UPDATE,Complete,Profile management
/customer/vehicles,Customer List,Yes (Supabase),"GET /api/customer/vehicles, POST /api/customer/vehicles, DELETE /api/customer/vehicles/[id]",vehicles,SELECT|INSERT|DELETE,Complete,Vehicle fleet management
/customer/sessions,Customer List,Yes (Supabase),GET /api/customer/sessions,"sessions, mechanics",SELECT,Complete,Session history with filters
/customer/quotes,Customer List,Yes (Supabase),GET /api/customer/quotes,"repair_quotes, sessions",SELECT,Complete,Repair quote management
/customer/quotes/[quoteId],Customer Detail,Yes (Supabase),"GET /api/quotes/[quoteId], POST /api/quotes/[quoteId]/respond",repair_quotes,SELECT|UPDATE,Complete,Quote approval/rejection
/customer/schedule,Scheduler,Yes (Supabase),POST /api/customer/schedule,"sessions, session_requests",INSERT,Complete,Session scheduling interface
/customer/signup,Auth Form,No (Public),POST /api/customer/signup,"auth.users, profiles",INSERT,Complete,Duplicate of /signup
/customer/forgot-password,Auth Form,No (Public),POST /api/customer/forgot-password,auth.users,UPDATE,Complete,Password reset flow
/customer/verify-email,Email Verification,Yes (Supabase),None,profiles,UPDATE,Complete,Email verification reminder
/mechanic/login,Auth Form,No (Public),POST /api/mechanics/login,"mechanics, mechanic_sessions",SELECT|INSERT,Complete,Custom token authentication
/mechanic/signup,Registration Form,No (Public),POST /api/mechanic/signup,mechanics,INSERT,Complete,Independent mechanic signup
/mechanic/signup/[inviteCode],Registration Form,No (Public),POST /api/mechanic/signup,"mechanics, organizations",INSERT,Complete,Workshop-invited mechanic signup
/mechanic/signup/success,Confirmation,No (Public),None,None,None,Complete,Post-signup confirmation
/mechanic/dashboard,Mechanic Dashboard,Yes (Mechanic Token),"GET /api/mechanics/me, GET /api/mechanic/active-sessions, GET /api/mechanics/requests, GET /api/mechanic/dashboard/stats","mechanics, sessions, session_requests, repair_quotes",SELECT,Complete,3 real-time subscriptions + on-shift tracking
/mechanic/dashboard/virtual,Mechanic Dashboard,Yes (Mechanic Token),"GET /api/mechanics/me, GET /api/mechanics/requests, GET /api/mechanic/dashboard/stats","mechanics, sessions, session_requests",SELECT,Complete,Virtual-only mechanic dashboard
/mechanic/profile,Mechanic Profile,Yes (Mechanic Token),"GET /api/mechanics/me, PUT /api/mechanics/[mechanicId]/profile","mechanics, mechanic_specializations",SELECT|UPDATE,Complete,Profile + specializations
/mechanic/availability,Availability Manager,Yes (Mechanic Token),"GET /api/mechanics/availability, PUT /api/mechanics/availability","mechanics, mechanic_time_off",SELECT|UPDATE|INSERT,Complete,Schedule + time-off management
/mechanic/sessions,Mechanic List,Yes (Mechanic Token),"GET /api/mechanic/sessions/history, GET /api/mechanic/active-sessions","sessions, profiles",SELECT,Complete,Session history
/mechanic/sessions/virtual,Mechanic List,Yes (Mechanic Token),GET /api/mechanics/sessions/virtual,sessions,SELECT,Complete,Virtual session history
/mechanic/session/[id],Session Detail,Yes (Mechanic Token),"GET /api/mechanic/sessions/[sessionId], PUT /api/mechanic/sessions/[sessionId]","sessions, session_files",SELECT|UPDATE,Complete,Active session interface
/mechanic/session/[id]/complete,Session Completion,Yes (Mechanic Token),POST /api/mechanic/sessions/complete,"sessions, repair_quotes",UPDATE|INSERT,Complete,Session summary + quote creation
/mechanic/analytics,Analytics Dashboard,Yes (Mechanic Token),GET /api/mechanics/analytics,"sessions, mechanics, micro_sessions",SELECT,Incomplete,MISSING API - no analytics data
/mechanic/earnings,Earnings Report,Yes (Mechanic Token),GET /api/mechanics/earnings,"sessions, payments, fee_applications",SELECT,Incomplete,PARTIAL - basic earnings only
/mechanic/statements,Financial Statements,Yes (Mechanic Token),GET /api/mechanics/statements,"sessions, payments, fee_applications",SELECT,Incomplete,MISSING DETAILED DATA
/mechanic/reviews,Review List,Yes (Mechanic Token),GET /api/mechanic/reviews,"session_reviews, sessions",SELECT,Complete,Customer reviews
/mechanic/crm,CRM Dashboard,Yes (Mechanic Token),"GET /api/mechanics/clients, POST /api/mechanics/clients","mechanic_clients, sessions",SELECT|INSERT,Incomplete,BASIC IMPLEMENTATION ONLY
/mechanic/documents,Document Manager,Yes (Mechanic Token),"GET /api/mechanic/documents, POST /api/mechanic/upload-document, DELETE /api/mechanic/documents/[id]",mechanic_documents,SELECT|INSERT|DELETE,Complete,Certificate uploads
/mechanic/job-recording,Job Recording,Yes (Mechanic Token),POST /api/mechanics/jobs,micro_sessions,INSERT,Complete,Bay work time tracking
/mechanic/partnerships/browse,Partnership List,Yes (Mechanic Token),GET /api/mechanics/partnerships/programs,partnership_programs,SELECT,Complete,Available programs
/mechanic/partnerships/applications,Application List,Yes (Mechanic Token),GET /api/mechanics/partnerships/applications,partnership_applications,SELECT,Complete,My applications
/mechanic/partnerships/apply/[programId],Application Form,Yes (Mechanic Token),POST /api/mechanics/partnerships/applications,partnership_applications,INSERT,Complete,Apply to program
/mechanic/onboarding/service-tier,Onboarding Step,Yes (Mechanic Token),POST /api/mechanics/onboarding/service-tier,mechanics,UPDATE,Complete,Select service tier
/mechanic/onboarding/virtual-only,Onboarding Step,Yes (Mechanic Token),POST /api/mechanics/onboarding/virtual-only,mechanics,UPDATE,Complete,Virtual-only confirmation
/mechanic/onboarding/stripe,Stripe Onboarding,Yes (Mechanic Token),POST /api/mechanics/stripe/onboard,mechanics,UPDATE,Complete,Stripe Connect setup
/mechanic/onboarding/stripe/complete,Stripe Callback,Yes (Mechanic Token),None,mechanics,UPDATE,Complete,Stripe onboarding callback
/workshop/login,Auth Form,No (Public),POST /api/workshop/login,"organizations, organization_members",SELECT,Complete,Workshop authentication
/workshop/signup,Registration Form,No (Public),POST /api/workshop/signup,organizations,INSERT,Complete,Workshop registration
/workshop/signup/success,Confirmation,No (Public),None,None,None,Complete,Post-signup confirmation
/workshop/dashboard,Workshop Dashboard,Yes (Workshop Token),"GET /api/workshop/dashboard, GET /api/workshop/escalation-queue","organizations, sessions, mechanics",SELECT,Complete,Workshop overview
/workshop/analytics,Analytics Dashboard,Yes (Workshop Token),GET /api/admin/analytics/workshop-health/[id],"workshop_analytics_daily, workshop_analytics_monthly",SELECT,Incomplete,MISSING COMPREHENSIVE DATA
/workshop/diagnostics,Diagnostic Queue,Yes (Workshop Token),GET /api/workshop/diagnostics,"sessions, session_requests",SELECT,Complete,Escalated session queue
/workshop/diagnostics/[sessionId],Diagnostic Detail,Yes (Workshop Token),GET /api/workshop/diagnostics/[sessionId],sessions,SELECT,Complete,Session details
/workshop/diagnostics/[sessionId]/complete,Diagnostic Completion,Yes (Workshop Token),POST /api/workshop/diagnostics/[sessionId]/complete,sessions,UPDATE,Complete,Mark diagnostic complete
/workshop/quotes,Quote List,Yes (Workshop Token),GET /api/workshop/quotes,repair_quotes,SELECT,Complete,Workshop quotes
